Rank,Name,Platform,Year,Genre,Critic_Score,User_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
143,Pokémon Gold / Silver Version,GB,2000.0,Role-Playing,9.2,,Nintendo  ,Game Freak  ,9.0,6.18,7.2,0.71,23.1
144,God of War (2018),All,2018.0,Action,,,Sony Interactive Entertainment  ,SIE Santa Monica Studio  ,,,,,
145,Terraria,PC,2011.0,Platform,8.8,,Re-Logic  ,Re-Logic  ,,0.13,,0.01,0.14
146,Call of Duty: Modern Warfare 2,All,2009.0,Shooter,,,Activision  ,Infinity Ward  ,,,,,
147,Wii Fit,Wii,2008.0,Sports,7.9,,Nintendo  ,Nintendo EAD  ,8.92,8.03,3.6,2.15,22.7
148,Microsoft Flight Simulator,Series,1982.0,Simulation,,,Microsoft  ,Sublogic  ,,,,,
149,SpongeBob SquarePants,Series,2001.0,Action-Adventure,,,THQ  ,Vicarious Visions  ,,,,,
150,Yu-Gi-Oh!,Series,2002.0,Strategy,,,Konami  ,Konami  ,,,,,
151,Castlevania,Series,1986.0,Action-Adventure,,,Konami  ,Konami  ,,,,,
152,Teenage Mutant Ninja Turtles,Series,1989.0,Action-Adventure,,,Konami  ,Konami  ,,,,,
153,Dynasty Warriors,Series,1997.0,Action,,,KOEI  ,Omega Force  ,,,,,
154,Luigi's Mansion,Series,2001.0,Action-Adventure,,,Nintendo  ,Nintendo  ,,,,,
155,Wii Fit Plus,Wii,2009.0,Sports,8.0,,Nintendo  ,Nintendo EAD  ,9.01,8.51,2.53,1.76,21.81
156,Imagine,Series,2007.0,Simulation,,,Ubisoft  ,Ubisoft  ,,,,,
157,Final Fantasy X/X-2,All,2001.0,Role-Playing,,,Square  ,Square  ,,,,,
158,Naruto: Ultimate Ninja Storm,Series,2008.0,Fighting,,,Namco Bandai Games  ,CyberConnect2  ,,,,,
159,Super Mario World,SNES,1991.0,Platform,8.5,,Nintendo  ,Nintendo EAD  ,12.78,3.75,3.54,0.55,20.61
160,Grand Theft Auto V,PS3,2013.0,Action,9.4,,Rockstar Games  ,Rockstar North  ,6.37,9.85,0.99,3.12,20.32
161,The Lord of the Rings,Series,1982.0,Action-Adventure,,,Melbourne House  ,Beam Software  ,,,,,
162,Super Robot Wars,Series,1991.0,Role-Playing,,,Bandai  ,Banpresto  ,,,,,
163,Cyberpunk 2077,All,2020.0,Role-Playing,,,CD Projekt Red Studio  ,CD Projekt Red Studio  ,,,,,
164,Dying Light,All,2015.0,Action-Adventure,,,Warner Bros. Interactive Entertainment  ,Techland  ,,,,,
165,Fallout 4,All,2015.0,Role-Playing,,,Bethesda Softworks  ,Bethesda Game Studios  ,,,,,
166,FIFA 19,All,2018.0,Sports,,,EA Sports  ,EA Vancouver  ,,,,,
167,Frogger,Series,1981.0,Action,,,Konami  ,Konami  ,,,,,
168,Gundam,Series,1997.0,Action-Adventure,,,Bandai  ,Banpresto  ,,,,,
169,Horizon,Series,2017.0,Action-Adventure,,,Sony Interactive Entertainment  ,Guerrilla Games  ,,,,,
170,Horizon: Zero Dawn,All,2017.0,Action-Adventure,,,Sony Interactive Entertainment  ,Guerrilla Games  ,,,,,
171,Lemmings,Series,1991.0,Puzzle,,,Psygnosis  ,DMA Design  ,,,,,
172,Marvel's Spider-Man,PS4,2018.0,Action-Adventure,9.1,,Sony Interactive Entertainment  ,Insomniac Games  ,3.64,3.39,0.32,1.41,8.76
173,Monster Hunter: World,All,2018.0,Role-Playing,,,Capcom  ,Capcom  ,,,,,
174,Prince of Persia,Series,1989.0,Action-Adventure,,,Broderbund  ,Broderbund  ,,,,,
175,Rayman Raving Rabbids,Series,2006.0,Action-Adventure,,,Ubisoft  ,Ubisoft  ,,,,,
176,SimCity,Series,1989.0,Simulation,,,Maxis  ,Maxis  ,,,,,
177,Simple,Series,2002.0,Misc,,,Agetec  ,Bandai Namco Studios  ,,,,,
178,SingStar,Series,2004.0,Music,,,Sony Computer Entertainment Europe  ,London Studios  ,,,,,
179,Sniper Elite,Series,2005.0,Shooter,,,Namco  ,Rebellion Developments  ,,,,,
