Name,Platform,Year,Genre,Critic_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
Professor Layton and the Curious Village,DS,2008,Adventure,8.7,Nintendo  ,Level 5  ,1.21,2.44,1.03,0.51,5.1899999999999995
Spider-Man: The Movie,PS2,2002,Action,8.2,Activision  ,Treyarch  ,2.71,1.51,0.03,0.23,4.48
The Elder Scrolls IV: Oblivion,X360,2009,Role-Playing,9.2,Take-Two Interactive  ,Bethesda Softworks  ,2.89,1.03,0.13,0.41,4.46
The Legend of Zelda: The Wind Waker,GC,2003,Adventure,9.6,Nintendo  ,Nintendo EAD  ,2.6,0.99,0.89,0.13,4.609999999999999
Tony Hawk's Pro Skater 3,PS2,2001,Sports,9.1,Activision  ,Neversoft Entertainment  ,2.66,1.29,0.01,0.46,4.42
Winning Eleven: Pro Evolution Soccer 2007,PS2,2007,Sports,8.8,Konami  ,Konami Computer Entertainment Tokyo  ,0.1,2.39,1.05,0.86,4.4
Michael Jackson: The Experience,Wii,2010,Misc,5.6,Ubisoft  ,Ubisoft Montpellier  ,2.64,1.33,0.01,0.39,4.37
Need for Speed: Most Wanted,PS2,2005,Racing,8.6,Electronic Arts  ,EA Canada  ,2.03,1.79,0.08,0.47,4.37
Call of Duty: Advanced Warfare,X360,2014,Shooter,9.1,Activision  ,High Moon Studios  ,2.81,1.13,0.0,0.41,4.35
Animal Crossing: City Folk,Wii,2008,Simulation,7.1,Nintendo  ,Nintendo EAD  ,1.84,1.13,1.32,0.36,4.65
Dragon Quest VII,PS,2001,Role-Playing,8.0,Enix  ,Heart Beat  ,0.2,0.14,4.1,0.02,4.459999999999999
Monster Hunter Generations,3DS,2016,Action,8.8,Capcom  ,Capcom  ,0.42,0.26,2.82,0.07,3.57
Batman: Arkham Asylum,PS3,2009,Action,9.0,Eidos Interactive  ,Rocksteady Studios  ,2.26,1.33,0.07,0.63,4.29
Mario Tennis Aces,NS,2018,Sports,7.8,Nintendo  ,Camelot Software Planning  ,0.71,0.62,0.42,0.12,1.87
Call of Duty: Advanced Warfare,PS3,2014,Shooter,9.1,Activision  ,High Moon Studios  ,1.59,1.81,0.2,0.67,4.2700000000000005
God of War II,PS2,2007,Action,9.3,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,2.32,0.04,0.04,1.67,4.07
The Legend of Zelda: A Link Between Worlds,3DS,2013,Adventure,9.3,Nintendo  ,Nintendo EAD  ,1.53,1.31,0.47,0.26,3.5699999999999994
Super Paper Mario,Wii,2007,Platform,8.5,Nintendo  ,Intelligent Systems  ,1.95,0.87,0.59,0.32,3.7299999999999995
Assassin's Creed: Revelations,PS3,2011,Action,8.8,Ubisoft  ,Ubisoft Montreal  ,1.41,2.03,0.1,0.69,4.2299999999999995
Assassin's Creed: Revelations,X360,2011,Action,7.9,Ubisoft  ,Ubisoft Montreal  ,2.28,1.47,0.04,0.44,4.23
FIFA Soccer 06,PS2,2005,Sports,8.4,EA Sports  ,EA Canada  ,0.78,2.55,0.04,0.84,4.21
Monster Hunter 4 Ultimate,3DS,2015,Role-Playing,8.8,Capcom  ,Capcom  ,0.72,0.49,2.63,0.12,3.96
Street Fighter IV,PS3,2009,Fighting,9.3,Capcom  ,Capcom / Dimps Corporation  ,2.04,1.05,0.59,0.52,4.199999999999999
FIFA Soccer 12,X360,2011,Sports,9.2,EA Sports  ,EA Canada  ,0.85,2.79,0.02,0.52,4.18
Call of Duty: Ghosts,PS4,2013,Shooter,7.5,Activision  ,Infinity Ward  ,1.79,1.64,0.05,0.69,4.17
